score	kind	address	off	on	off_hex	on_hex	module	region_type	protect
28	u32	0x00000289ffcee2b8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffcee388	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffcee3d0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffcee458	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffcee4a0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffcee528	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffcee570	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffcee5b0	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffcee5f8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffcee628	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffcee640	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffcee6c8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffcee6f8	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffcee710	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffcee798	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffcee7c8	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffcee7e0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffcee868	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffcee8b0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffcee8d8	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289ffcee8f0	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffcee938	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffcee968	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffcee980	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffcee9c0	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
