base	size	type	protect	module	diff_pages	diff_bytes	diff_ratio	first_diff	entropy	file_off	file_on
0x00000289dd360000	0x20000	PRIVATE	READWRITE		1	7	0.00005341	0x00000289dd371000	1.926	region_6116_0x00000289dd360000_0x20000_PRIVATE_READWRITE.bin	region_6124_0x00000289dd360000_0x20000_PRIVATE_READWRITE.bin
0x000002899d95c000	0x46000	PRIVATE	READWRITE		2	16	0.00005580	0x000002899d979000	2.823	region_1536_0x000002899d95c000_0x46000_PRIVATE_READWRITE.bin	region_1529_0x000002899d95c000_0x46000_PRIVATE_READWRITE.bin
0x000000af4377e000	0x4000	PRIVATE	READWRITE		1	1	0.00006104	0x000000af4377f000	0.171	region_0043_0x000000af4377e000_0x4000_PRIVATE_READWRITE.bin	region_0031_0x000000af4377e000_0x4000_PRIVATE_READWRITE.bin
0x000000af49900000	0x10000	PRIVATE	READWRITE		1	4	0.00006104	0x000000af4990f000	0.239	region_0147_0x000000af49900000_0x10000_PRIVATE_READWRITE.bin	region_0135_0x000000af49900000_0x10000_PRIVATE_READWRITE.bin
0x000002898dac0000	0x10000	PRIVATE	READWRITE		2	4	0.00006104	0x000002898dac2000	3.108	region_0581_0x000002898dac0000_0x10000_PRIVATE_READWRITE.bin	region_0569_0x000002898dac0000_0x10000_PRIVATE_READWRITE.bin
0x000002899ab90000	0x10000	PRIVATE	READWRITE		1	4	0.00006104	0x000002899ab93000	7.229	region_1048_0x000002899ab90000_0x10000_PRIVATE_READWRITE.bin	region_1042_0x000002899ab90000_0x10000_PRIVATE_READWRITE.bin
0x000002899b060000	0x10000	PRIVATE	READWRITE		1	4	0.00006104	0x000002899b06c000	7.318	region_1117_0x000002899b060000_0x10000_PRIVATE_READWRITE.bin	region_1111_0x000002899b060000_0x10000_PRIVATE_READWRITE.bin
0x00000289b87c0000	0x10000	PRIVATE	READWRITE		1	4	0.00006104	0x00000289b87c3000	2.958	region_3440_0x00000289b87c0000_0x10000_PRIVATE_READWRITE.bin	region_3434_0x00000289b87c0000_0x10000_PRIVATE_READWRITE.bin
0x00000289b8eb0000	0x10000	PRIVATE	READWRITE		1	4	0.00006104	0x00000289b8eb2000	1.203	region_3546_0x00000289b8eb0000_0x10000_PRIVATE_READWRITE.bin	region_3540_0x00000289b8eb0000_0x10000_PRIVATE_READWRITE.bin
0x00000289ccab0000	0x10000	PRIVATE	READWRITE		1	4	0.00006104	0x00000289ccab2000	4.498	region_3746_0x00000289ccab0000_0x10000_PRIVATE_READWRITE.bin	region_3754_0x00000289ccab0000_0x10000_PRIVATE_READWRITE.bin
0x00000289cce40000	0x10000	PRIVATE	READWRITE		2	4	0.00006104	0x00000289cce49000	3.906	region_3792_0x00000289cce40000_0x10000_PRIVATE_READWRITE.bin	region_3800_0x00000289cce40000_0x10000_PRIVATE_READWRITE.bin
0x00000289d5320000	0x10000	PRIVATE	READWRITE		1	4	0.00006104	0x00000289d532f000	3.028	region_5840_0x00000289d5320000_0x10000_PRIVATE_READWRITE.bin	region_5847_0x00000289d5320000_0x10000_PRIVATE_READWRITE.bin
0x00000289eba40000	0x10000	PRIVATE	READWRITE		1	4	0.00006104	0x00000289eba4e000	3.626	region_6362_0x00000289eba40000_0x10000_PRIVATE_READWRITE.bin	region_6370_0x00000289eba40000_0x10000_PRIVATE_READWRITE.bin
0x00000289ecca0000	0x10000	PRIVATE	READWRITE		1	4	0.00006104	0x00000289eccaf000	1.589	region_6636_0x00000289ecca0000_0x10000_PRIVATE_READWRITE.bin	region_6644_0x00000289ecca0000_0x10000_PRIVATE_READWRITE.bin
0x00000289ff980000	0x10000	PRIVATE	READWRITE		1	4	0.00006104	0x00000289ff988000	1.745	region_6860_0x00000289ff980000_0x10000_PRIVATE_READWRITE.bin	region_6870_0x00000289ff980000_0x10000_PRIVATE_READWRITE.bin
