file	base	allocation_base	size	bytes_read	protect	type
region_0113_0x000000af48210000_0x100000_PRIVATE_READWRITE.bin	0x000000af48210000	0x000000af48210000	0x100000	0x100000	READWRITE	PRIVATE
region_0114_0x000000af48310000_0x100000_PRIVATE_READWRITE.bin	0x000000af48310000	0x000000af48310000	0x100000	0x100000	READWRITE	PRIVATE
region_0115_0x000000af48410000_0x100000_PRIVATE_READWRITE.bin	0x000000af48410000	0x000000af48410000	0x100000	0x100000	READWRITE	PRIVATE
region_0116_0x000000af48510000_0x100000_PRIVATE_READWRITE.bin	0x000000af48510000	0x000000af48510000	0x100000	0x100000	READWRITE	PRIVATE
region_0117_0x000000af48610000_0x100000_PRIVATE_READWRITE.bin	0x000000af48610000	0x000000af48610000	0x100000	0x100000	READWRITE	PRIVATE
region_0118_0x000000af48710000_0x100000_PRIVATE_READWRITE.bin	0x000000af48710000	0x000000af48710000	0x100000	0x100000	READWRITE	PRIVATE
region_0119_0x000000af48810000_0x100000_PRIVATE_READWRITE.bin	0x000000af48810000	0x000000af48810000	0x100000	0x100000	READWRITE	PRIVATE
region_0120_0x000000af48a0a000_0x6000_PRIVATE_READWRITE.bin	0x000000af48a0a000	0x000000af48910000	0x6000	0x6000	READWRITE	PRIVATE
region_0121_0x000000af48b0f000_0x1000_PRIVATE_READWRITE.bin	0x000000af48b0f000	0x000000af48a10000	0x1000	0x1000	READWRITE	PRIVATE
region_0122_0x000000af48c0e000_0x2000_PRIVATE_READWRITE.bin	0x000000af48c0e000	0x000000af48b10000	0x2000	0x2000	READWRITE	PRIVATE
region_0123_0x000000af48d0b000_0x5000_PRIVATE_READWRITE.bin	0x000000af48d0b000	0x000000af48c10000	0x5000	0x5000	READWRITE	PRIVATE
region_0124_0x000000af48e0e000_0x2000_PRIVATE_READWRITE.bin	0x000000af48e0e000	0x000000af48d10000	0x2000	0x2000	READWRITE	PRIVATE
region_0125_0x000000af48f0e000_0x2000_PRIVATE_READWRITE.bin	0x000000af48f0e000	0x000000af48e10000	0x2000	0x2000	READWRITE	PRIVATE
region_0126_0x000000af4900e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4900e000	0x000000af48f10000	0x2000	0x2000	READWRITE	PRIVATE
region_0127_0x000000af49104000_0xc000_PRIVATE_READWRITE.bin	0x000000af49104000	0x000000af49010000	0xc000	0xc000	READWRITE	PRIVATE
region_0128_0x000000af49200000_0x10000_PRIVATE_READWRITE.bin	0x000000af49200000	0x000000af49110000	0x10000	0x10000	READWRITE	PRIVATE
region_0129_0x000000af492fa000_0x16000_PRIVATE_READWRITE.bin	0x000000af492fa000	0x000000af49210000	0x16000	0x16000	READWRITE	PRIVATE
region_0130_0x000000af493fa000_0x16000_PRIVATE_READWRITE.bin	0x000000af493fa000	0x000000af49310000	0x16000	0x16000	READWRITE	PRIVATE
region_0131_0x000000af494fa000_0x16000_PRIVATE_READWRITE.bin	0x000000af494fa000	0x000000af49410000	0x16000	0x16000	READWRITE	PRIVATE
